# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrMichMent_Try2_model
# start_datetime = 2025-04-07 17:04:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 3
# data
#   file = d:\David\BayesianInferencesInSilicoScripts\BayesianInferencesInSilicoScripts\tmp\PyrMichMent_Try2_3.data.R
# init = 2 (Default)
# random
#   seed = 408891310 (Default)
# output
#   file = d:\David\BayesianInferencesInSilicoScripts\BayesianInferencesInSilicoScripts\tmp\PyrMichMent_Try2_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kf,kr,kpl,T1_P,T1_X,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,inits.1
-532.63,0.979201,0.0113855,9,511,0,533.604,-1.66613,-1.97965,1.19783,-1.88687,13.4862,8.4775,0.196372,0.0166937,0.00254376,0.879403,0.0113134,51,41,604.002
-534.457,0.872831,0.0188497,10,1023,0,538.106,-1.90018,-1.72333,1.05744,-1.80959,17.5755,1.69517,-0.786418,0.00499081,0.0345836,0.840796,0.0190406,51,41,333.735
-534.696,0.999817,0.00870251,5,47,0,535.157,-1.89822,-1.72899,1.05237,-1.80848,17.5781,1.68499,-0.772149,0.00508884,0.0338759,0.839401,0.0191523,51,41,337.659
-533.548,0.333334,0.0312403,1,3,0,537.759,-1.90307,-1.73063,1.0216,-1.80692,17.6133,1.70999,-0.783397,0.00484666,0.033671,0.830939,0.0193082,51,41,334.566
-534.337,0.963213,0.00732996,10,1023,0,540.088,-1.93177,0.120141,1.78234,-1.83633,10.717,-3.44195,-0.623303,0.00341139,0.265018,1.04014,0.0163665,51,41,378.592
-531.576,0.994705,0.0103331,8,303,0,538.442,-1.90174,-1.87457,0.747836,-1.79829,10.9792,-2.73253,-0.848712,0.00491292,0.015679,0.755655,0.0201709,51,41,316.604
-533.052,0.998918,0.00725566,10,1023,0,534.363,-1.70143,-1.98812,0.768281,-1.72716,13.8508,-3.51084,-1.04854,0.0149283,0.00148556,0.761277,0.0272843,51,41,261.651
-535.895,0.756907,0.0157182,9,1023,0,539.512,-1.95753,-1.8959,-0.695656,1.46005,18.4007,-0.0723931,-1.92833,0.00212352,0.0130131,0.358694,0.346005,51,41,19.7087
-534.345,0.970059,0.0120061,8,255,0,538.738,-1.96938,-1.85506,-0.611911,0.73269,18.6615,0.414833,-1.90266,0.0015311,0.0181173,0.381724,0.273269,51,41,26.7685
-534.335,0.981985,0.0174097,9,511,0,536.708,-1.96981,-1.60594,1.40084,0.185673,17.4759,1.54848,-1.88453,0.00150956,0.0492572,0.935231,0.218567,51,41,31.7538
-536.206,0.849895,0.0280856,5,59,1,540.186,-1.96272,-1.80721,1.51722,1.29879,16.248,0.0230608,-1.92356,0.00186386,0.0240983,0.967235,0.329879,51,41,21.0201
-536.634,0.03917,0.0345791,3,15,1,541.476,-1.96038,-1.8117,1.4968,1.27273,16.2489,-0.0152742,-1.92482,0.00198085,0.0235372,0.961621,0.327273,51,41,20.6747
-534.545,0.99994,0.00467761,9,767,0,537.485,-1.95819,-1.79373,0.747078,1.09567,16.7244,0.331564,-1.92197,0.00209072,0.0257841,0.755446,0.309567,51,41,21.4576
-536.582,0.904163,0.0103464,9,1023,0,539.462,-1.95424,-1.75863,1.78079,-0.0381759,15.2126,-1.15066,-1.87373,0.00228804,0.0301714,1.03972,0.196182,51,41,34.7229
-534.118,0.994433,0.00704464,10,1023,0,540.182,-1.95854,-1.83414,-0.279111,-1.32681,14.3693,-9.99066,-1.65485,0.00207276,0.0207319,0.473244,0.0673194,51,41,94.9158
-534.986,0.763006,0.0169216,10,1023,0,538.726,-1.88119,-1.95578,0.144499,-1.66996,5.56034,3.52366,-1.29981,0.00594044,0.00552717,0.589737,0.0330036,51,41,192.553
-534.68,0.999528,0.00681508,10,1023,0,539.585,-1.63919,-1.97507,1.55768,-1.89528,12.6371,0.107847,0.425523,0.0180407,0.00311605,0.978361,0.0104716,51,41,667.019
-532.55,0.507642,0.0229628,5,63,0,536.072,-1.73389,-1.97182,1.43968,-1.86726,12.6068,0.211259,-0.168733,0.0133054,0.00352265,0.945913,0.0132735,51,41,503.598
-532.776,0.99578,0.0101038,10,1023,0,533.891,-1.96525,-1.66251,1.21849,-1.11965,13.9512,7.96357,-1.72003,0.0017376,0.0421868,0.885085,0.0880351,51,41,76.9925
-533.355,0.997114,0.0132641,10,1023,0,535.223,-1.62893,-1.98473,1.69998,-1.80478,19.1182,9.08488,-0.663868,0.0185535,0.00190894,1.01749,0.0195221,51,41,367.436
-535.008,0.483962,0.022316,7,127,0,535.892,-1.69351,-1.98375,1.61815,-1.82419,18.8422,8.52631,-0.484361,0.0153244,0.00203118,0.994992,0.0175807,51,41,416.801
-534.416,0.998555,0.0119176,9,639,0,538.636,-1.9463,-1.60735,0.519779,-1.62837,15.3949,7.0078,-1.35594,0.00268511,0.0490815,0.692939,0.0371633,51,41,177.116
-537.107,0.808404,0.013669,7,143,0,539.716,-1.9448,-1.79497,0.0772001,-1.3706,15.2968,6.05745,-1.63594,0.0027598,0.025629,0.57123,0.0629401,51,41,100.117
