# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrMichMent_Try2_model
# start_datetime = 2025-04-07 17:04:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = d:\David\BayesianInferencesInSilicoScripts\BayesianInferencesInSilicoScripts\tmp\PyrMichMent_Try2_1.data.R
# init = 2 (Default)
# random
#   seed = 408891310 (Default)
# output
#   file = d:\David\BayesianInferencesInSilicoScripts\BayesianInferencesInSilicoScripts\tmp\PyrMichMent_Try2_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kf,kr,kpl,T1_P,T1_X,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,inits.1
-811.415,0.680445,0.00368084,4,23,0,2421.93,0.30908,-1.6365,0.642565,0.394183,-3.01422,-5.21407,-1.92872,0.115454,0.0454379,0.726705,0.239418,51,41,19.6014
-802.483,1,0.00344005,2,3,0,812.055,0.311448,-1.63605,0.643974,0.396035,-3.01329,-5.21486,-1.92815,0.115572,0.0454937,0.727093,0.239603,51,41,19.7587
-793.879,1,0.00483312,2,3,0,804.58,0.310719,-1.63723,0.641459,0.402019,-3.00747,-5.2187,-1.92771,0.115536,0.0453463,0.726401,0.240202,51,41,19.8792
-692.238,1,0.007022,2,3,0,795.13,0.341471,-1.63097,0.638737,0.427103,-2.99888,-5.20617,-1.91972,0.117074,0.0461294,0.725653,0.24271,51,41,22.0778
-634.597,1,0.00845683,2,3,0,690.631,0.351221,-1.62491,0.631661,0.446791,-2.98245,-5.21373,-1.91242,0.117561,0.0468858,0.723707,0.244679,51,41,24.0852
-610.787,0.378371,0.0200502,6,115,0,624.459,0.549753,-1.69033,0.925076,0.29968,-2.9603,-5.45256,-1.89537,0.127488,0.0387086,0.804396,0.229968,51,41,28.7735
-611.18,0.989141,0.00636565,8,447,0,611.875,0.681856,-1.7578,0.981069,0.473905,-2.81404,-5.49583,-1.90245,0.134093,0.0302752,0.819794,0.247391,51,41,26.8262
-578.68,0.994197,0.00652047,9,511,0,612.195,-1.97865,-1.89552,0.512451,0.928664,-3.97465,-4.65053,-1.6734,0.00106733,0.0130604,0.690924,0.292866,51,41,89.8148
-546.329,0.993488,0.0116997,6,63,0,581.891,-1.94318,-1.93791,0.827735,-0.132503,-4.1372,-4.30611,-1.86457,0.00284106,0.00776164,0.777627,0.18675,51,41,37.2423
-543.724,0.991823,0.021733,7,175,0,549.825,-1.96167,-1.88662,1.62024,0.0995946,-8.11253,-7.51376,-1.8709,0.00191669,0.0141729,0.995566,0.209959,51,41,35.5031
-534.512,0.534422,0.0215452,5,31,0,547.682,-1.95631,-1.80458,1.57798,-0.0302709,-7.71007,-7.16346,-1.87696,0.00218426,0.0244276,0.983943,0.196973,51,41,33.8348
-533.217,0.936268,0.0113224,9,511,0,536.03,-1.96726,-1.5938,0.820524,-1.25558,-6.58936,-7.12565,-1.66564,0.00163702,0.0507749,0.775644,0.074442,51,41,91.9494
-533.203,0.998794,0.00721659,10,1023,0,535.149,-1.96667,-0.449859,0.752854,-1.58684,-8.51813,-10.6495,-1.44368,0.00166636,0.193768,0.757035,0.0413157,51,41,152.987
-533.609,0.180188,0.0233623,3,15,0,537.145,-1.96614,-0.446163,0.837583,-1.58479,-8.50259,-10.6034,-1.4558,0.00169293,0.19423,0.780335,0.0415211,51,41,149.656
-534.241,0.999241,0.00555951,9,1023,0,536.379,-1.96352,0.838941,0.881581,-1.57095,-7.82368,-9.5597,-1.46242,0.00182421,0.354868,0.792435,0.0429045,51,41,147.835
-533.155,0.998736,0.00373113,10,1023,0,536.81,-1.95895,-0.572681,1.07448,-1.60168,-5.75373,-11.7354,-1.42208,0.00205247,0.178415,0.845481,0.0398318,51,41,158.929
-533.32,0.999122,0.00543498,10,1023,0,535.681,-1.96691,0.506389,0.396146,-1.60226,-3.40026,-8.05646,-1.42396,0.00165455,0.313299,0.65894,0.0397745,51,41,158.412
-536.227,0.93333,0.00915191,10,1023,0,539.475,-1.79365,-1.37526,-0.0515414,-1.9415,-5.43428,-3.56195,1.93666,0.0103174,0.0780925,0.535826,0.0058496,51,41,1082.58
-535.193,0.611072,0.0198982,9,719,0,540.728,-1.96365,-1.41532,1.78992,-1.09752,-2.08556,-0.992742,-1.73959,0.00181771,0.0730845,1.04223,0.0902485,51,41,71.6138
-532.425,0.999802,0.00670176,10,1023,0,539.482,-1.83988,-1.94239,-0.486025,-1.88447,-1.47844,-6.87297,0.048106,0.00800594,0.0072017,0.416343,0.0115529,51,41,563.229
-532.838,0.990447,0.0151299,10,1023,0,533.903,-1.96706,-1.70732,1.13341,-0.765584,4.82663,-14.7357,-1.79596,0.00164702,0.0365847,0.861688,0.123442,51,41,56.1116
-533.489,0.258282,0.0276606,5,39,0,536.244,-1.96816,-1.71219,1.13179,-1.06157,4.97151,-15.0648,-1.72797,0.00159204,0.0359768,0.861242,0.0938426,51,41,74.8085
-532.937,0.999576,0.00788863,10,1023,0,536.903,-1.95955,-1.84019,-0.0453854,-0.836183,7.64528,-10.3483,-1.79335,0.0020223,0.0199764,0.537519,0.116382,51,41,56.8274
-533.752,0.897022,0.01287,10,1023,0,536.162,-1.79897,-1.93385,1.46684,-1.85937,1.01959,-6.51281,-0.27815,0.0100515,0.00826898,0.953382,0.0140628,51,41,473.509
-532.847,0.868038,0.0114337,8,415,0,536.322,-1.72761,-1.98688,-0.718047,-1.89077,0.69985,-5.94158,0.259384,0.0136195,0.00164033,0.352537,0.0109232,51,41,621.331
-532.568,0.999716,0.00733863,9,511,0,535.3,-1.81429,-1.98036,-1.04487,-1.86401,0.579839,-5.80002,-0.253564,0.00928544,0.00245489,0.26266,0.0135992,51,41,480.27
-534.126,0.978492,0.00985812,9,767,0,534.601,-1.89043,-1.48977,1.94089,-1.87822,0.743766,-4.12905,-0.117809,0.00547862,0.0637791,1.08374,0.0121777,51,41,517.603
-534.126,7.01449e-09,0.0300242,1,1,0,535.662,-1.89043,-1.48977,1.94089,-1.87822,0.743766,-4.12905,-0.117809,0.00547862,0.0637791,1.08374,0.0121777,51,41,517.603
-534.917,0.998409,0.00263511,10,1023,0,538.684,-1.89448,-1.74904,1.97846,-1.85217,0.0875137,-6.5486,-0.418006,0.0052759,0.0313694,1.09408,0.0147825,51,41,435.048
-539.654,0.972604,0.00778163,10,1023,0,543.02,-1.90957,1.58393,-1.98562,-1.887,-10.5845,-3.40285,-0.00859334,0.00452149,0.447992,0.00395578,0.0112999,51,41,547.637
-539.209,0.976819,0.0063013,3,15,0,540.9,-1.91047,1.57812,-1.98572,-1.88637,-10.5755,-3.40232,0.0225124,0.00447646,0.447264,0.00392683,0.0113635,51,41,556.191
-540.069,0.999384,0.00597206,9,511,0,541.181,-1.9016,1.80886,-1.98862,-1.895,-10.4736,-3.29851,0.192344,0.00492013,0.476108,0.00312866,0.0104998,51,41,602.895
