# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrTransport_model
# start_datetime = 2024-06-04 13:08:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 3
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrTransport_3.data.R
# init = 2 (Default)
# random
#   seed = 3934747241 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrTransport_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,k_f1,k_r1,T1_P,T1_X,kin,theta.1,theta.2,theta.3,theta.4,theta.5
-1900.57,0.401777,0.00336007,5,32,1,2021.81,-1.86357,-1.75027,-0.0566845,0.192997,-1.43901,0.00437631,0.00566565,50.9198,43.3396,0.000728742
-1900.31,0.999019,0.000834742,4,15,0,1901.99,-1.86343,-1.75009,-0.059263,0.194852,-1.44037,0.00437975,0.00566913,50.9066,43.3551,0.000727098
-1900.31,0.00924291,0.00259436,2,3,0,1902.59,-1.86343,-1.75009,-0.059263,0.194852,-1.44037,0.00437975,0.00566913,50.9066,43.3551,0.000727098
-1873.14,0.999912,0.000281713,7,127,0,1902.04,-1.84974,-1.70535,-0.064243,0.201559,-1.4339,0.00471854,0.00654289,50.8811,43.411,0.000734937
-1873.04,0.999991,0.000337067,4,15,0,1873.47,-1.84911,-1.70537,-0.0648856,0.200667,-1.43314,0.00473404,0.00654246,50.8778,43.4036,0.000735861
-1828.05,0.999735,0.000842358,6,63,0,1874.9,-1.70588,-1.50473,-0.0554023,0.193722,-1.5321,0.00827864,0.0104605,50.9263,43.3456,0.000615947
-1816.53,0.999925,0.000458235,7,127,0,1829.07,-1.68085,-1.57076,-0.04946,0.161282,-1.58457,0.00889815,0.00917103,50.9568,43.0751,0.000552367
-1817.68,0.987638,0.00160079,4,15,0,1817.96,-1.69113,-1.5757,-0.0518549,0.16274,-1.5765,0.00864363,0.00907463,50.9445,43.0872,0.000562135
-1815.73,0.998846,0.00135724,5,31,0,1817.93,-1.67901,-1.57951,-0.0500239,0.151183,-1.58783,0.00894364,0.00900023,50.9539,42.9909,0.000548415
-1813.99,0.494088,0.00422119,4,30,1,1818.33,-1.67275,-1.59767,-0.0447103,0.111035,-1.59555,0.00909848,0.00864557,50.9811,42.656,0.000539061
-1805.93,0.959253,0.00119791,6,67,0,1816.81,-1.55517,-1.68148,-0.00626852,0.0337701,-1.68312,0.0120083,0.00700897,51.1779,42.0116,0.000432939
-1803.98,0.99868,0.00179669,6,127,0,1809.36,-1.50617,-1.68576,-0.0129104,-0.0407161,-1.70052,0.0132211,0.0069254,51.1439,41.3904,0.00041186
-1802.76,0.193326,0.00390706,5,47,0,1805.81,-1.57484,-1.74752,0.00617975,-0.0857892,-1.69758,0.0115216,0.0057194,51.2416,41.0145,0.000415421
-1802.4,0.99999,0.000942775,6,63,0,1803.12,-1.58132,-1.73909,-0.00319536,-0.0802003,-1.69136,0.0113613,0.00588391,51.1936,41.0611,0.000422963
-1803.87,0.988274,0.000655301,8,383,0,1805.97,-1.5368,-1.72622,0.0309463,-0.157395,-1.70066,0.0124629,0.00613534,51.3684,40.4173,0.000411683
-1804.88,0.977172,0.0013154,6,63,0,1805.61,-1.59015,-1.75436,0.00165379,-0.180231,-1.68298,0.0111426,0.00558578,51.2185,40.2269,0.000433114
-1803.4,0.988271,0.00254628,6,127,0,1805.73,-1.61817,-1.66704,0.0302331,-0.194869,-1.64081,0.0104493,0.00729097,51.3648,40.1048,0.000484213
-1802.34,0.713033,0.00402071,6,127,0,1804.41,-1.58783,-1.70109,-0.00764281,-0.0309262,-1.67834,0.0112,0.00662611,51.1709,41.4721,0.00043873
-1804.34,0.913702,0.00245138,6,63,0,1805.36,-1.58556,-1.65029,-0.0158782,0.0265009,-1.66374,0.0112563,0.00761814,51.1287,41.951,0.000456426
-1804.61,0.912353,0.00224351,7,127,0,1806.6,-1.4591,-1.79764,-0.0132861,-0.020116,-1.74508,0.0143859,0.0047407,51.142,41.5622,0.000357859
-1804.61,0.00175479,0.00471954,1,3,0,1807.42,-1.4591,-1.79764,-0.0132861,-0.020116,-1.74508,0.0143859,0.0047407,51.142,41.5622,0.000357859
-1803.99,0.999958,0.000735239,8,255,0,1806.1,-1.61211,-1.63893,-0.00266849,-0.0369852,-1.64477,0.0105992,0.00783994,51.1963,41.4215,0.000479416
-1802.16,0.999969,0.00067085,8,383,0,1804.61,-1.60676,-1.70233,0.0133763,-0.120559,-1.66532,0.0107316,0.00660184,51.2785,40.7245,0.000454506
-1802.06,0.999906,0.00160885,5,47,0,1803.43,-1.57608,-1.68175,0.008935,-0.124982,-1.67247,0.0114908,0.00700368,51.2557,40.6877,0.000445848
-1802.73,0.926822,0.00143036,7,191,0,1804.68,-1.61648,-1.70718,0.0247674,-0.250967,-1.65498,0.0104911,0.00650709,51.3368,39.6369,0.000467035
-1803.96,0.983519,0.00274946,7,127,0,1805.45,-1.50633,-1.77753,-0.0205758,0.0887889,-1.73143,0.0132171,0.00513343,51.1047,42.4705,0.000374403
-1804.62,0.656236,0.0022477,6,127,0,1810.77,-1.57056,-1.67597,-0.0299128,0.0405458,-1.67706,0.0116276,0.00711663,51.0568,42.0682,0.000440289
-1806.9,0.993478,0.00117639,7,127,0,1809.32,-1.52954,-1.69745,-0.0414407,0.17363,-1.70422,0.0126426,0.00669712,50.9978,43.1781,0.000407379
-1804.56,0.99076,0.00243803,7,127,0,1808.78,-1.44292,-1.80997,-0.0419851,0.127955,-1.75755,0.0147861,0.0044998,50.995,42.7971,0.000342751
-1804.56,3.92547e-07,0.00549728,1,3,0,1805.58,-1.44292,-1.80997,-0.0419851,0.127955,-1.75755,0.0147861,0.0044998,50.995,42.7971,0.000342751
-1803.32,0.999979,0.000463021,9,783,0,1807.23,-1.6435,-1.66857,0.0162255,-0.203864,-1.62789,0.00982248,0.00726117,51.2931,40.0298,0.000499874
-1803.36,0.997252,0.00152444,5,63,0,1804.57,-1.64117,-1.65832,0.05382,-0.200052,-1.62946,0.00988017,0.00746132,51.4856,40.0616,0.000497962
-1803.36,0.937207,0.00193294,6,95,0,1805.04,-1.57444,-1.72562,-0.00629697,-0.169499,-1.68113,0.0115315,0.00614711,51.1778,40.3164,0.000435352
-1802.53,0.988979,0.00234377,4,31,0,1805.38,-1.58106,-1.70903,0.0268169,-0.148254,-1.68079,0.0113675,0.00647098,51.3473,40.4936,0.00043577
-1802.52,0.95401,0.00244641,6,127,0,1804.13,-1.63497,-1.66292,0.0174022,-0.194633,-1.63457,0.0100335,0.00737139,51.2991,40.1068,0.000491768
-1802.52,0.0508609,0.00484949,2,7,0,1804.26,-1.63497,-1.66292,0.0174022,-0.194633,-1.63457,0.0100335,0.00737139,51.2991,40.1068,0.000491768
-1801.89,0.999872,0.000398584,9,895,0,1804.17,-1.54461,-1.73259,-0.00534108,-0.0663396,-1.701,0.0122697,0.00601094,51.1827,41.1767,0.000411271
-1802.83,0.994717,0.000762436,8,383,0,1803.62,-1.53718,-1.7134,-0.0123708,-0.0934297,-1.69477,0.0124536,0.00638575,51.1467,40.9508,0.00041883
-1804.07,0.979293,0.00181253,7,191,0,1805.06,-1.46136,-1.75784,-0.0294724,0.107378,-1.74059,0.0143299,0.00551789,51.0591,42.6255,0.000363298
-1802.95,0.976248,0.00247951,7,159,0,1805.31,-1.56881,-1.70578,-0.01027,0.0232151,-1.69207,0.0116708,0.00653453,51.1574,41.9236,0.000422094
-1804.96,0.894264,0.00133114,5,63,0,1806.31,-1.57982,-1.7145,-0.0169422,0.00967987,-1.69324,0.0113983,0.0063641,51.1233,41.8107,0.000420678
-1802.65,0.99882,0.00360332,6,63,0,1805.65,-1.60125,-1.70616,0.031907,-0.114988,-1.67178,0.0108679,0.00652707,51.3734,40.771,0.000446687
-1802.65,0.0109854,0.00557266,1,3,0,1806.42,-1.60125,-1.70616,0.031907,-0.114988,-1.67178,0.0108679,0.00652707,51.3734,40.771,0.000446687
-1801.78,0.99972,0.000453721,6,127,0,1803.59,-1.59098,-1.69347,0.0109391,-0.123445,-1.67101,0.0111221,0.00677489,51.266,40.7005,0.000447614
-1802.84,0.997914,0.000860218,7,255,0,1803.41,-1.61771,-1.70867,0.0342179,-0.141274,-1.66374,0.0104607,0.00647796,51.3852,40.5518,0.000456428
-1803.03,0.99887,0.00144205,8,319,0,1805.51,-1.52271,-1.6996,-0.00272503,0.0255441,-1.70418,0.0128117,0.00665518,51.196,41.943,0.000407421
-1803.99,0.73373,0.00302766,4,31,0,1805.27,-1.50259,-1.69584,-0.0201516,-0.000951388,-1.70444,0.0133096,0.00672853,51.1068,41.7221,0.000407111
-1803.83,0.995798,0.00143002,6,63,0,1805.24,-1.49711,-1.71027,0.00849262,-0.0181894,-1.71325,0.0134452,0.00644673,51.2535,41.5783,0.000396436
-1802.19,0.566586,0.00343761,5,31,0,1804.84,-1.53359,-1.71511,-0.0126637,0.00747331,-1.70414,0.0125424,0.00635229,51.1452,41.7923,0.000407468
-1804.12,0.994984,0.00127498,6,127,0,1806.25,-1.52083,-1.73444,0.0307852,-0.0420627,-1.71246,0.0128581,0.00597488,51.3676,41.3792,0.000397389
-1802.15,0.996511,0.00279593,4,31,0,1805.31,-1.52651,-1.7312,-0.0181027,-0.0334778,-1.70875,0.0127176,0.0060381,51.1173,41.4508,0.000401885
-1802.71,0.998041,0.00183282,5,31,0,1803.28,-1.52581,-1.75396,0.0110183,-0.0329986,-1.71592,0.0127348,0.00559368,51.2664,41.4548,0.000393201
-1803.7,0.634862,0.00380866,6,95,0,1806.4,-1.55104,-1.74054,0.0423091,-0.176692,-1.69872,0.0121106,0.00585572,51.4266,40.2564,0.000414044
-1804.3,0.742762,0.00177954,7,151,0,1809.46,-1.60493,-1.71897,0.0350234,-0.244095,-1.67086,0.010777,0.00627688,51.3893,39.6942,0.000447795
-1807.7,0.730337,0.00249841,5,31,0,1809.95,-1.56533,-1.73189,0.0217655,-0.253483,-1.69075,0.0117569,0.00602461,51.3214,39.6159,0.000423703
-1805.39,0.999059,0.00102691,7,231,0,1810.61,-1.58416,-1.72483,0.0260288,-0.166824,-1.67482,0.0112909,0.00616249,51.3433,40.3387,0.000442997
-1802.03,0.975711,0.00342063,5,63,0,1805.55,-1.57537,-1.71748,-0.00973753,-0.100995,-1.68422,0.0115085,0.00630589,51.1601,40.8877,0.000431611
-1802.42,0.237363,0.00491576,2,5,0,1803.64,-1.5789,-1.72242,-0.0124723,-0.104679,-1.68322,0.0114211,0.00620949,51.1461,40.857,0.000432821
-1803.22,0.99801,0.00157342,6,127,0,1804.76,-1.59037,-1.66443,0.0133425,-0.0385309,-1.66747,0.0111372,0.00734196,51.2783,41.4087,0.000451909
-1804.33,0.999,0.0012523,8,319,0,1805.04,-1.58686,-1.72056,0.0661327,-0.254183,-1.67276,0.011224,0.0062458,51.5486,39.6101,0.000445491
-1804.88,0.980092,0.00215913,5,31,0,1806.66,-1.5741,-1.70571,0.00715401,-0.26167,-1.67226,0.0115399,0.00653592,51.2466,39.5477,0.000446103
-1804.88,0.0215207,0.242654,1,3,1,1806.56,-1.5741,-1.70571,0.00715401,-0.26167,-1.67226,0.0115399,0.00653592,51.2466,39.5477,0.000446103
-1804.88,0.00028478,0.264965,1,3,0,1806.66,-1.5741,-1.70571,0.00715401,-0.26167,-1.67226,0.0115399,0.00653592,51.2466,39.5477,0.000446103
-1809.54,0.998589,0.0187767,7,191,0,1810.74,-1.55673,-1.69282,-0.0125504,0.211443,-1.70247,0.0119697,0.0067876,51.1457,43.4934,0.000409499
-1802.91,0.999928,0.0168836,7,127,0,1811.6,-1.57195,-1.69148,-0.0297913,0.000568252,-1.68184,0.0115931,0.00681365,51.0575,41.7347,0.000434493
-1803.16,0.999844,0.0285247,6,95,0,1805.91,-1.52432,-1.71261,0.00341068,-0.124123,-1.6996,0.0127719,0.00640116,51.2275,40.6948,0.000412977
-1802.21,0.997629,0.0338577,6,63,0,1803.77,-1.53871,-1.73295,0.0111531,-0.0774785,-1.70453,0.0124156,0.00600386,51.2671,41.0838,0.000406998
-1803.18,0.995109,0.0769561,7,127,0,1805.26,-1.49694,-1.7764,0.00501308,-0.0716408,-1.72546,0.0134494,0.0051555,51.2357,41.1325,0.00038164
-1802.68,0.996969,0.0803613,6,127,0,1804.27,-1.5895,-1.70204,-0.0241281,-0.0430964,-1.67697,0.0111587,0.00660742,51.0865,41.3706,0.00044039
-1803.18,0.579342,0.14912,5,31,0,1804.85,-1.57126,-1.69678,0.0203915,-0.168182,-1.673,0.01161,0.00671019,51.3144,40.3274,0.000445211
-1803.07,0.983662,0.0879697,4,27,0,1804.5,-1.60336,-1.68437,0.00312084,-0.136333,-1.65699,0.0108158,0.00695263,51.226,40.593,0.000464608
-1803.26,0.949176,0.0621052,6,103,0,1806.04,-1.53118,-1.72691,-0.000396237,0.0330776,-1.7081,0.0126021,0.00612183,51.208,42.0059,0.00040267
-1802.26,0.98165,0.0935644,3,15,0,1806.1,-1.52614,-1.72694,-0.0149895,-0.0381556,-1.70558,0.0127267,0.00612127,51.1333,41.4118,0.000405728
-1802.82,0.190961,0.154406,4,25,0,1806.06,-1.53121,-1.74105,-0.00683791,0.0334526,-1.71285,0.0126013,0.00584572,51.175,42.009,0.000396922
-1802.6,0.998527,0.0169948,7,255,0,1804.73,-1.52559,-1.71675,-0.019848,-0.00693676,-1.70383,0.0127404,0.00632021,51.1084,41.6721,0.00040785
-1802.26,0.988528,0.0585989,6,119,0,1803.93,-1.53471,-1.71377,-0.0159057,-0.0247511,-1.70255,0.0125147,0.00637848,51.1286,41.5236,0.000409401
-1803.8,0.978151,0.0318235,7,191,0,1805.47,-1.59511,-1.71567,0.0308092,-0.094253,-1.67543,0.0110198,0.00634138,51.3677,40.9439,0.000442255
-1806.34,0.957065,0.0903656,4,15,0,1807.87,-1.61702,-1.71837,0.0451414,-0.0700007,-1.67137,0.0104778,0.00628868,51.4411,41.1462,0.000447175
-1806.84,0.899768,0.138877,4,15,0,1807.7,-1.52259,-1.71316,-0.00229189,-0.213342,-1.69186,0.0128147,0.00639038,51.1983,39.9507,0.000422351
-1807.31,0.998311,0.120435,4,23,0,1809.3,-1.52961,-1.72289,-0.0133227,-0.222827,-1.69475,0.012641,0.00620041,51.1418,39.8716,0.000418848
-1807.07,0.245672,0.202614,2,5,0,1808.43,-1.52743,-1.72042,-0.0070211,-0.227429,-1.69453,0.0126948,0.00624863,51.1741,39.8332,0.00041912
-1802.74,0.993003,0.0363556,5,31,0,1808.2,-1.55272,-1.73667,-0.00423129,-0.138306,-1.69445,0.012069,0.00593122,51.1883,40.5765,0.00041921
-1803.56,0.998512,0.0956609,4,15,0,1803.85,-1.55075,-1.72686,0.0370154,-0.0843527,-1.69913,0.0121178,0.00612289,51.3995,41.0265,0.000413546
-1802.83,0.663905,0.130735,5,31,0,1805.37,-1.59862,-1.72886,-0.00734786,-0.147835,-1.67679,0.0109332,0.00608368,51.1724,40.4971,0.000440616
-1803.23,0.998351,0.0457571,5,47,0,1804.99,-1.55106,-1.70171,0.0365414,-0.107982,-1.68962,0.0121101,0.00661392,51.3971,40.8294,0.000425071
-1804.48,0.962041,0.0650514,6,63,0,1806.11,-1.54033,-1.73021,-0.0475872,0.108486,-1.71303,0.0123755,0.00605734,50.9664,42.6348,0.000396702
-1804.91,0.975252,0.0922653,6,127,0,1806.77,-1.43406,-1.85088,-0.0117688,0.0532398,-1.76376,0.0150055,0.00370091,51.1497,42.174,0.000335223
-1804.91,0.0124078,0.216404,1,3,0,1808.05,-1.43406,-1.85088,-0.0117688,0.0532398,-1.76376,0.0150055,0.00370091,51.1497,42.174,0.000335223
-1806.07,0.985769,0.0183572,4,15,0,1807.4,-1.4304,-1.8485,-0.0114763,0.0593968,-1.76058,0.0150961,0.00374743,51.1512,42.2254,0.00033908
-1805.52,0.999451,0.0323894,6,111,0,1807.86,-1.40915,-1.84913,-0.0295705,0.0220844,-1.76225,0.0156219,0.00373525,51.0586,41.9142,0.000337055
-1805.87,0.999992,0.0282363,4,23,0,1806.06,-1.40601,-1.84732,-0.0321008,0.0104856,-1.76546,0.0156997,0.00377042,51.0456,41.8174,0.000333172
-1803.51,0.974073,0.0691104,7,163,0,1807.69,-1.66627,-1.64812,0.0368485,-0.234333,-1.60924,0.00925899,0.00766047,51.3987,39.7757,0.000522467
-1804.56,0.995781,0.0579022,6,127,0,1806.45,-1.62969,-1.68938,0.0804338,-0.354471,-1.64007,0.0101643,0.00685475,51.6218,38.7737,0.00048511
-1802.6,0.885368,0.151264,5,63,0,1808.83,-1.5654,-1.72902,-0.00785494,-0.00885359,-1.69594,0.0117551,0.00608066,51.1698,41.6562,0.000417405
