# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrAllosteric_model
# start_datetime = 2024-07-17 14:42:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 750
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 2
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrAllosteric_2.data.R
# init = 2 (Default)
# random
#   seed = 3360580831 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrAllosteric_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,T1_P,T1_X,kin,kpl,kf,kr,a1,a2,a3,b1,b2,b3,ScFm,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1
-7.94959e+09,0.922954,1.53609e-10,3,13,1,7.94959e+09,0.512324,-1.24567,-0.00131341,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.666667,3.48972e-10,1,3,1,7.94959e+09,0.512324,-1.24567,-0.00131341,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.833136,3.27876e-10,2,6,1,7.94959e+09,0.512324,-1.24567,-0.00131342,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.909091,1.67046e-10,3,11,1,7.94959e+09,0.512324,-1.24567,-0.00131342,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.666667,2.41924e-10,1,3,1,7.94959e+09,0.512324,-1.24567,-0.00131342,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.4995,2.08415e-10,1,2,1,7.94959e+09,0.512324,-1.24567,-0.00131342,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0,2.03414e-10,0,1,1,7.94959e+09,0.512324,-1.24567,-0.00131342,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.956476,2.19588e-11,4,23,1,7.94959e+09,0.512324,-1.24567,-0.00131342,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.875,3.92851e-11,3,8,1,7.94959e+09,0.512324,-1.24567,-0.00131342,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.963385,3.39191e-11,4,28,1,7.94959e+09,0.512324,-1.24567,-0.00131342,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.875,9.76791e-11,3,8,1,7.94959e+09,0.512324,-1.24567,-0.00131342,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.79952,1.23949e-10,2,5,1,7.94959e+09,0.512324,-1.24567,-0.00131342,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.874891,6.45022e-11,3,8,1,7.94959e+09,0.512324,-1.24567,-0.00131342,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.966034,6.10202e-11,4,30,1,7.94959e+09,0.512324,-1.24567,-0.00131342,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.666438,2.3482e-10,1,3,1,7.94959e+09,0.512324,-1.24567,-0.00131342,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.908501,1.46943e-10,3,11,1,7.94959e+09,0.512324,-1.24567,-0.00131342,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.833022,1.00384e-10,2,6,1,7.94959e+09,0.512324,-1.24567,-0.00131342,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.874016,1.59988e-10,3,8,1,7.94959e+09,0.512324,-1.24567,-0.00131342,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.87499,2.06091e-10,3,8,1,7.94959e+09,0.512324,-1.24567,-0.00131341,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
-7.94959e+09,0.8,3.7799e-10,2,5,1,7.94959e+09,0.512324,-1.24567,-0.00131341,0.559961,0.404793,-0.6695,-0.256066,-0.690363,1.85625,0.0986547,-0.458458,-1.54124,-2,1.98475,28.4633,56.3532,0.00504675,0.450513,0.300998,0.0332692,0.000441624,0.328082,0.000964421,0.525139,0.000391532,0.0732408,13.92,697.335
