# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrNoTransport_model
# start_datetime = 2024-06-03 17:03:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 3
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrNoTransport_3.data.R
# init = 2 (Default)
# random
#   seed = 3862419333 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrNoTransport_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,k_f1,k_r1,T1_P,T1_X,theta.1,theta.2,theta.3,theta.4
-2237.42,0.320887,0.00423845,5,54,1,2249.42,-1.63174,-1.39386,0.008269,0.0807344,0.000169922,3.38111e-05,50.0413,55.8477
-2235.67,0.995999,0.00137237,6,71,0,2239.19,-1.63538,-1.45425,0.0202772,0.0929292,0.000168407,3.04451e-05,50.1014,55.9758
-2234.27,0.97885,0.00344692,4,31,0,2236.9,-1.63839,-1.5152,0.0164134,0.0850571,0.000167157,2.70473e-05,50.0821,55.8931
-2230.19,0.913802,0.00292706,6,75,0,2238.33,-1.63309,-1.75718,-0.0231799,0.0456732,0.00016936,1.35579e-05,49.8841,55.4796
-2229.22,0.397939,0.00514077,3,15,1,2231.06,-1.63329,-1.78174,-0.016771,0.0532699,0.000169277,1.21889e-05,49.9161,55.5593
-2229.89,0.66872,0.00232405,5,55,1,2234.35,-1.63623,-1.81957,0.0532607,0.0022941,0.000168056,1.00801e-05,50.2663,55.0241
-2228.45,0.990043,0.00159163,4,15,0,2230.46,-1.63256,-1.81655,0.0439417,0.0100295,0.000169581,1.02485e-05,50.2197,55.1053
-2229.31,0.977383,0.00136524,6,63,0,2230.57,-1.63277,-1.79735,-0.0220195,0.0408776,0.000169495,1.13191e-05,49.8899,55.4292
-2226.43,0.997426,0.00147413,6,95,0,2230.68,-1.63717,-1.87339,0.0268033,0.0382652,0.000167666,7.08025e-06,50.134,55.4018
-2225.59,0.996867,0.00246904,6,63,0,2226.82,-1.6353,-1.9289,-0.00514766,0.0185526,0.000168442,3.98562e-06,49.9743,55.1948
-2225.59,0.0660555,0.00529998,2,5,0,2226.96,-1.6353,-1.9289,-0.00514766,0.0185526,0.000168442,3.98562e-06,49.9743,55.1948
-2226,0.992469,0.000687576,7,135,1,2228.29,-1.6362,-1.88552,-0.00151237,0.0472549,0.000168067,6.40382e-06,49.9924,55.4962
-2228.12,0.995054,0.0011651,7,127,0,2229.66,-1.63116,-1.84394,0.036626,-0.0368793,0.000170162,8.72162e-06,50.1831,54.6128
-2226.53,0.991248,0.00135419,6,63,0,2228.85,-1.63074,-1.8803,0.0246251,-0.0247917,0.000170338,6.69466e-06,50.1231,54.7397
-2225.34,0.991853,0.00186369,6,63,0,2226.86,-1.63539,-1.90455,0.0103853,0.0394501,0.000168403,5.34287e-06,50.0519,55.4142
-2227.16,0.389743,0.00423889,4,18,1,2230.6,-1.63151,-1.91697,-0.00107565,0.0521637,0.000170019,4.65058e-06,49.9946,55.5477
-2226.2,0.999816,0.000868409,4,15,0,2227.5,-1.63288,-1.91796,0.000582598,0.0517798,0.000169447,4.59546e-06,50.0029,55.5437
-2226.19,0.994271,0.00224938,4,19,0,2226.83,-1.63307,-1.92068,0.0173221,0.0510499,0.000169372,4.44375e-06,50.0866,55.536
-2226.93,0.8472,0.00465636,4,19,1,2228.39,-1.64052,-1.89824,-0.00728879,0.0654876,0.000166271,5.69474e-06,49.9636,55.6876
-2227,0.284647,0.0044642,5,31,0,2229.78,-1.64384,-1.9328,0.026978,0.106013,0.000164891,3.76847e-06,50.1349,56.1131
-2225.73,0.998721,0.00157066,7,127,0,2229.22,-1.62797,-1.96078,-0.00045602,-0.0326049,0.000171489,2.20839e-06,49.9977,54.6576
-2225.74,0.847941,0.00158207,3,7,0,2228.82,-1.63179,-1.96056,0.00101555,-0.0337777,0.000169901,2.22111e-06,50.0051,54.6453
-2225.08,0.999722,0.000986491,6,63,0,2226.09,-1.62982,-1.98542,0.0449866,-0.0272311,0.000170719,8.34805e-07,50.2249,54.7141
-2224.41,0.952381,0.00140506,4,21,1,2226.42,-1.63083,-1.98874,0.0302763,-0.0407109,0.0001703,6.49719e-07,50.1514,54.5725
-2224,0.852418,0.0027016,2,7,1,2225.71,-1.63024,-1.99341,0.0250429,-0.0286413,0.000170544,3.89556e-07,50.1252,54.6993
-2224.44,0.798354,0.00227581,2,5,1,2226.8,-1.6304,-1.98429,0.021558,-0.040596,0.000170479,8.97866e-07,50.1078,54.5737
-2224.26,0.862461,0.00224663,3,10,1,2226.3,-1.63378,-1.99426,0.0280739,-0.0235441,0.000169076,3.42524e-07,50.1404,54.7528
-2224.25,0.929933,0.00320672,4,18,1,2226.76,-1.63844,-1.98409,0.0274822,0.0381425,0.000167138,9.09186e-07,50.1374,55.4005
-2223.69,0.885512,0.00188379,3,11,1,2225.69,-1.63648,-1.98846,0.0231724,0.0321336,0.000167952,6.65381e-07,50.1159,55.3374
-2224.93,0.861039,0.00426885,4,16,1,2225.57,-1.63615,-1.95334,0.0264936,0.0550916,0.00016809,2.62309e-06,50.1325,55.5785
-2225.32,0.861741,0.0024704,3,12,1,2227.43,-1.6417,-1.96727,0.0216464,0.0676708,0.000165782,1.84693e-06,50.1082,55.7105
-2225.11,0.955915,0.00310308,4,23,1,2225.92,-1.63364,-1.95894,0.00270539,0.0518225,0.000169133,2.31096e-06,50.0135,55.5441
-2224.65,0.85003,0.0046259,3,8,1,2225.41,-1.63978,-1.97663,0.00556522,0.0497895,0.00016658,1.325e-06,50.0278,55.5228
-2224.65,4.1877e-16,0.00893713,1,3,1,2226.52,-1.63978,-1.97663,0.00556522,0.0497895,0.00016658,1.325e-06,50.0278,55.5228
-2224.67,0.870775,0.00176263,4,23,0,2229.05,-1.63832,-1.96438,0.0242594,0.0667203,0.000167187,2.00789e-06,50.1213,55.7006
-2225.28,0.939163,0.00129782,4,28,1,2227.81,-1.63691,-1.942,0.0342587,0.0470006,0.000167771,3.25544e-06,50.1713,55.4935
-2226.77,0.995562,0.00241458,4,31,0,2228.06,-1.6328,-1.94911,-0.0271937,0.0180276,0.000169481,2.85894e-06,49.864,55.1893
-2224.94,0.986194,0.00224083,4,31,0,2227.59,-1.63324,-1.93446,0.00409018,0.0253565,0.0001693,3.67569e-06,50.0205,55.2662
-2226.16,0.852024,0.00288466,4,26,1,2226.31,-1.63061,-1.92307,-0.000931052,0.0226079,0.000170394,4.31083e-06,49.9953,55.2374
-2227.65,0.933333,0.00386763,4,19,1,2229.16,-1.6349,-1.8536,0.0341821,0.0564171,0.00016861,8.18303e-06,50.1709,55.5924
-2227.81,0.204371,0.00565455,2,7,0,2228.17,-1.63911,-1.8546,0.0383615,0.0530579,0.000166858,8.12769e-06,50.1918,55.5571
-2226.54,0.995993,0.00156647,6,95,0,2228.61,-1.63946,-1.88573,-0.00171361,0.062692,0.000166712,6.39232e-06,49.9914,55.6583
-2227.06,0.990911,0.00100607,6,127,1,2228.59,-1.64243,-1.88587,0.0140543,0.0907575,0.000165478,6.38439e-06,50.0703,55.953
-2225.52,0.962084,0.00276319,5,49,1,2227.85,-1.63431,-1.90895,0.00865662,0.00929988,0.000168852,5.09758e-06,50.0433,55.0976
-2224.66,0.943723,0.00148282,5,38,1,2228.55,-1.63607,-1.96244,0.0338769,0.0182523,0.000168124,2.11595e-06,50.1694,55.1916
-2224.48,0.96,0.00326342,4,25,1,2225.13,-1.63337,-1.95045,0.0136166,0.00297726,0.000169245,2.78417e-06,50.0681,55.0313
-2224.48,0.961769,0.00289397,4,27,1,2225.01,-1.63284,-1.9545,0.0192352,-0.00659435,0.000169465,2.55859e-06,50.0962,54.9308
-2224.48,2.41343e-06,0.00756318,1,1,0,2225.4,-1.63284,-1.9545,0.0192352,-0.00659435,0.000169465,2.55859e-06,50.0962,54.9308
-2225.09,0.971425,0.00145856,5,47,1,2227.14,-1.63571,-1.96875,-0.0169122,0.0458633,0.000168273,1.76448e-06,49.9154,55.4816
-2224.61,0.999919,0.00102919,5,63,0,2225.84,-1.63768,-1.94639,0.0135189,0.0571825,0.000167454,3.01074e-06,50.0676,55.6004
-2225.92,0.6801,0.321508,3,8,1,2226.26,-1.63743,-1.89638,0.00744988,0.0371424,0.000167555,5.79836e-06,50.0372,55.39
-2225.92,0,2.09426,0,1,1,2231.37,-1.63743,-1.89638,0.00744988,0.0371424,0.000167555,5.79836e-06,50.0372,55.39
-2225.1,0.992419,0.145209,5,31,0,2226.61,-1.63417,-1.93731,0.034125,0.0122646,0.000168913,3.51675e-06,50.1706,55.1288
-2224.51,0.673315,0.322838,2,4,1,2227.12,-1.63044,-1.98545,0.0359879,-0.0354757,0.000170464,8.33311e-07,50.1799,54.6275
-2224.44,0.833224,0.125095,2,6,1,2224.59,-1.63032,-1.98922,0.0358979,-0.0368019,0.000170514,6.23078e-07,50.1795,54.6136
-2224.21,0.906038,0.110252,3,12,1,2225.02,-1.63045,-1.99148,0.0336334,-0.0243915,0.000170459,4.97238e-07,50.1682,54.7439
-2224.52,0.663447,0.125141,1,3,1,2225.77,-1.63,-1.98406,0.0349241,-0.0245594,0.000170646,9.10694e-07,50.1746,54.7421
-2224.64,0.747587,0.0861331,2,4,1,2231.35,-1.63085,-1.97221,0.0350643,-0.0249558,0.000170291,1.5712e-06,50.1753,54.738
-2224.82,0.96709,0.0403639,4,31,1,2225.43,-1.63038,-1.97403,0.0383951,-0.0231265,0.000170487,1.4702e-06,50.192,54.7572
-2225.19,0.916667,0.0891536,3,12,1,2226.03,-1.63185,-1.954,0.0336872,-0.0316693,0.000169877,2.58668e-06,50.1684,54.6675
-2223.98,0.996308,0.060993,4,31,0,2226.06,-1.63337,-1.99303,0.028282,-0.0178503,0.000169244,4.10648e-07,50.1414,54.8126
-2224.36,0.490267,0.0764098,1,2,1,2227.33,-1.63463,-1.99837,0.028287,-0.0208266,0.000168721,1.12907e-07,50.1414,54.7813
-2223.78,0.937265,0.0353564,4,16,1,2224.75,-1.63133,-1.99961,0.0299297,-0.0130303,0.000170094,4.38449e-08,50.1496,54.8632
-2223.78,0,0.0712915,0,1,1,2225.45,-1.63133,-1.99961,0.0299297,-0.0130303,0.000170094,4.38449e-08,50.1496,54.8632
-2225.47,0.995866,0.00315912,7,244,1,2227.67,-1.63556,-1.99724,0.0382767,-0.0278809,0.000168332,1.75891e-07,50.1914,54.7073
-2223.85,0.985714,0.00779631,6,70,1,2227.15,-1.63186,-1.99634,0.0287282,-0.0232702,0.000169874,2.26128e-07,50.1436,54.7557
-2223.69,0.996186,0.00578222,8,263,1,2224.19,-1.63198,-1.99486,0.025973,-0.00959792,0.000169822,3.08769e-07,50.1299,54.8992
-2223.77,0.899873,0.0146976,3,10,1,2226.1,-1.63143,-1.99822,0.0274339,-0.00635801,0.00017005,1.21296e-07,50.1372,54.9332
-2223.99,0.899688,0.0242042,3,10,1,2226.78,-1.6308,-1.99764,0.0292226,-0.00799422,0.000170314,1.53839e-07,50.1461,54.9161
-2224.17,0.928512,0.0125934,3,14,1,2226.26,-1.63032,-1.99721,0.0296661,-0.00888318,0.000170515,1.77674e-07,50.1483,54.9067
-2223.91,0.88851,0.0259946,3,9,1,2226.8,-1.633,-1.99261,0.0306469,-0.015141,0.000169397,4.34028e-07,50.1532,54.841
-2225.76,0.915381,0.0518086,4,19,1,2233.11,-1.64053,-1.99191,0.0344558,0.0268409,0.000166267,4.73334e-07,50.1723,55.2818
-2224.32,0.998478,0.0440911,4,31,0,2226.76,-1.63379,-1.98927,0.0372253,0.0189836,0.000169072,6.20407e-07,50.1861,55.1993
-2223.99,0.95,0.0741972,4,20,1,2224.97,-1.63746,-1.98358,0.0249987,0.033894,0.000167542,9.3759e-07,50.125,55.3559
-2224.19,0.645417,0.123491,1,3,1,2226.89,-1.638,-1.98929,0.0269496,0.0267636,0.000167321,6.19111e-07,50.1347,55.281
-2224.3,0.948179,0.0525106,4,20,1,2224.94,-1.63401,-1.99161,0.0318579,0.0323245,0.00016898,4.9009e-07,50.1593,55.3394
-2225.73,0.888646,0.101806,3,9,1,2226.47,-1.63827,-1.96191,0.044304,0.0287604,0.000167207,2.14567e-06,50.2215,55.302
-2225.33,0.956664,0.0500179,4,24,1,2226.86,-1.63682,-1.95863,0.0426968,0.0277877,0.000167809,2.32829e-06,50.2135,55.2918
-2225.36,0.831234,0.159324,2,6,1,2227.33,-1.63507,-1.93967,0.0363227,0.0340542,0.000168539,3.38553e-06,50.1816,55.3576
-2224.79,0.937478,0.105814,4,24,1,2227.95,-1.63604,-1.94632,0.00904956,0.060417,0.000168133,3.01449e-06,50.0452,55.6344
-2225.11,0.921116,0.0851128,3,13,1,2227.45,-1.63572,-1.92083,0.00857085,0.0508798,0.00016827,4.43565e-06,50.0429,55.5342
-2225.4,0.828396,0.170164,3,9,1,2228.99,-1.63448,-1.93355,0.0140723,0.0553152,0.000168783,3.72678e-06,50.0704,55.5808
-2226.27,0.835357,0.195614,3,8,1,2227.74,-1.6402,-1.90652,0.0265952,0.0641194,0.000166406,5.23349e-06,50.133,55.6733
-2226.41,0.908166,0.246624,3,12,1,2227.04,-1.63803,-1.87736,0.0264795,0.0505893,0.000167307,6.85875e-06,50.1324,55.5312
-2226.17,0.864527,0.307223,3,11,0,2229.98,-1.64199,-1.98308,0.0429319,0.0696783,0.000165659,9.65688e-07,50.2147,55.7316
-2226.27,0.606326,0.223332,1,3,1,2228.01,-1.6385,-1.99072,0.0442888,0.0810862,0.000167113,5.39557e-07,50.2214,55.8514
-2223.52,0.875,0.175952,3,8,1,2227.84,-1.63553,-1.99916,0.00786465,0.0460417,0.000168347,6.93799e-08,50.0393,55.4834
-2223.53,0.499253,0.173883,1,2,1,2224.58,-1.63726,-1.99769,0.00696785,0.0386656,0.000167626,1.51029e-07,50.0348,55.406
-2224.26,0.872814,0.0323502,3,8,1,2225.09,-1.63885,-1.99162,0.00415062,0.0385827,0.000166965,4.8951e-07,50.0208,55.4051
-2224.01,0.9,0.0787029,3,10,1,2226.72,-1.63318,-1.97457,0.00752451,0.0189228,0.000169322,1.43996e-06,50.0376,55.1987
-2224.1,0.968649,0.0416554,5,32,1,2224.68,-1.63309,-1.98239,0.00291239,-0.00166536,0.000169362,1.0041e-06,50.0146,54.9825
-2223.85,0.749624,0.0547862,2,4,1,2228.46,-1.63246,-1.99238,0.00201698,0.00423694,0.000169622,4.46991e-07,50.0101,55.0445
-2223.75,0.664805,0.0700116,1,3,1,2225.92,-1.63227,-1.99549,0.00388662,0.00642864,0.000169703,2.73618e-07,50.0194,55.0675
-2224.2,0.99109,0.0478673,4,31,0,2225.69,-1.63309,-1.97389,0.00386225,0.00154716,0.000169361,1.47761e-06,50.0193,55.0162
-2224.7,0.939782,0.101616,4,19,1,2225.07,-1.63087,-1.96267,0.00356244,-0.00799111,0.000170286,2.10307e-06,50.0178,54.9161
-2224.47,0.977266,0.0562996,5,45,1,2225.04,-1.63178,-1.95525,0.0149609,0.00111094,0.000169904,2.51687e-06,50.0748,55.0117
-2223.73,0.732986,0.188354,2,4,1,2225.76,-1.63386,-1.99096,0.0133527,-0.00349253,0.00016904,5.26463e-07,50.0668,54.9633
-2224.07,0.881874,0.157325,3,10,1,2224.33,-1.63033,-1.98866,0.013401,-0.00903185,0.000170507,6.54293e-07,50.067,54.9052
