# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrMichMent_model
# start_datetime = 2025-04-04 14:51:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 3
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrMichMent_3.data.R
# init = 2 (Default)
# random
#   seed = 141761547 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\BayesianInference\tmp\PyrMichMent_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kf,kr,kpl,T1_P,T1_X,LDH,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,inits.1
-538.477,0.968765,0.0142729,8,279,0,540,-1.98991,1.63501,-0.988043,-1.914,-34.1426,8.29206,-0.928643,0.00252342,0.908751,0.252989,0.0215003,51,41,294.623
-538.477,0.0311071,0.0230066,2,7,1,544.192,-1.98991,1.63501,-0.988043,-1.914,-34.1426,8.29206,-0.928643,0.00252342,0.908751,0.252989,0.0215003,51,41,294.623
-539.619,0.987289,0.00224117,10,1023,0,545.205,-1.99398,1.12839,-1.573,-1.82865,-35.8455,8.66873,-1.45728,0.00150533,0.782097,0.106751,0.0428371,51,41,149.248
-538.896,0.998685,0.00407178,10,1023,0,543.402,-1.98801,-1.90776,1.81248,-1.64198,-39.6467,3.13972,-1.7394,0.00299726,0.023061,0.953121,0.0895053,51,41,71.664
-537.228,0.999724,0.00600549,10,1023,0,541.019,-1.98253,-1.89513,1.46808,-1.93255,-42.6274,4.48762,-0.657416,0.00436802,0.0262187,0.867019,0.0168615,51,41,369.211
-537.07,0.905769,0.0114537,10,1023,0,540.535,-1.92146,-1.99263,1.36978,-1.93414,-42.6038,-4.638,-0.438249,0.0196362,0.00184176,0.842446,0.0164648,51,41,429.482
-537.462,0.970734,0.00939475,10,1023,0,542.725,-1.99438,-1.86724,1.04794,-0.810598,-61.7259,9.20405,-1.91038,0.00140492,0.0331891,0.761986,0.29735,51,41,24.6458
-538.057,0.971149,0.00806738,10,1023,0,541.302,-1.99237,-1.93151,0.0946871,-1.48174,-74.4416,10.6943,-1.81536,0.00190637,0.0171232,0.523672,0.129564,51,41,50.775
-538.222,0.99267,0.00911278,5,59,0,539.815,-1.99236,-1.94082,0.0623185,-1.4683,-74.471,10.7058,-1.80936,0.00190953,0.0147954,0.51558,0.132924,51,41,52.4267
-536.722,0.950574,0.0171861,6,127,0,540.624,-1.99123,-1.91005,0.502179,-1.46377,-74.6036,10.8621,-1.81825,0.00219159,0.0224878,0.625545,0.134058,51,41,49.9808
-536.453,0.396914,0.0292405,2,7,0,540.848,-1.99077,-1.9135,0.544634,-1.46946,-74.6377,10.8688,-1.82017,0.00230868,0.0216245,0.636158,0.132634,51,41,49.4531
-535.757,0.99976,0.00837522,10,1023,0,538.735,-1.96147,-1.98403,0.545217,-1.90258,-70.6836,8.7997,-1.00855,0.0096317,0.003992,0.636304,0.0243553,51,41,272.65
-534.591,0.978429,0.0150841,7,175,0,538.706,-1.97268,-1.95732,0.972576,-1.93887,-70.2386,8.475,-0.45993,0.0068298,0.0106694,0.743144,0.0152831,51,41,423.519
-535.187,0.697544,0.0191534,8,325,0,536.353,-1.97246,-1.94084,0.998556,-1.95571,-70.1024,6.54783,0.0772119,0.0068853,0.0147907,0.749639,0.0110721,51,41,571.233
-535.058,0.722379,0.0185543,10,1023,0,537.577,-1.96323,-1.96414,1.06344,-1.95492,-84.7423,-2.69429,0.0852866,0.00919314,0.00896377,0.76586,0.0112705,51,41,573.454
-535.099,0.459365,0.0206627,8,419,0,537.574,-1.98944,-1.51879,0.591282,-1.90285,-84.8991,-8.16955,-1.06129,0.00263999,0.120302,0.647821,0.024287,51,41,258.145
-534.885,0.999312,0.00735474,10,1023,0,539.318,-1.99009,-1.75265,1.04733,-1.86357,-84.0522,-8.95627,-1.32013,0.00247798,0.0618379,0.761832,0.0341069,51,41,186.964
-537.527,0.905374,0.0108317,9,511,0,542.542,-1.95898,-1.96393,0.142354,-1.97375,-83.7011,-8.66051,1.49428,0.0102562,0.00901691,0.535588,0.00656234,51,41,960.926
-537.141,0.885254,0.0154799,10,1023,0,540.231,-1.99381,-1.618,1.79195,-1.7214,-101.095,3.93012,-1.6458,0.00154679,0.0954997,0.947987,0.0696499,51,41,97.4037
-541.326,0.99464,0.00827578,10,1023,0,543.265,-1.99193,-1.801,1.99468,-1.68748,-100.446,3.43822,-1.70171,0.0020163,0.0497499,0.998669,0.0781305,51,41,82.0298
