x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
48.0,55.0,0.00603068,0.0180078,0.0447043,0.478107,1.26858,1.15104,1.33792,0.0127001,1.90499,0.00266344,15.0,597.165,14382.1,218.367
48.0,55.0,0.00606989,0.0182469,0.0466562,0.440077,1.26153,1.13962,1.24935,0.0117274,1.56762,0.00290594,15.0,445.191,12086.3,223.917
48.0,55.0,0.00580955,0.0188374,0.0696291,0.278293,0.368416,1.27815,0.892066,0.0112685,1.18743,0.00150061,15.0,609.616,22434.5,209.625
48.0,55.0,0.00663883,0.0177894,0.0177112,0.342926,1.04759,1.01,1.15511,0.00861952,1.14918,0.00391674,15.0,580.9,7049.12,233.629
48.0,55.0,0.00643216,0.0185987,0.0408596,0.221024,1.15702,1.59784,1.82224,0.0124008,1.418,0.0038022,15.0,338.84,10476.8,234.783
48.0,55.0,0.00623706,0.0181663,0.0281583,0.30641,0.993716,0.942241,0.566196,0.00751555,1.04956,0.00318396,15.0,365.922,4549.65,234.752
48.0,55.0,0.00666784,0.0181327,0.0485786,0.266297,1.51623,2.46972,1.5679,0.00612163,1.4479,0.00376818,15.0,398.32,24752.7,229.171
48.0,55.0,0.00580456,0.0182342,0.0450147,0.791358,1.6279,0.954815,0.859547,0.00780458,1.63921,0.00222193,15.0,555.845,14617.0,221.228
48.0,55.0,0.00636328,0.0184022,0.0306243,0.334604,0.62363,1.07202,1.09444,0.0106208,0.933192,0.00228121,15.0,533.413,10864.5,236.098
48.0,55.0,0.00576044,0.0184722,0.0436078,0.542518,1.19775,1.54713,0.760845,0.00776086,1.45986,0.00190894,15.0,790.31,19605.6,209.251
48.0,55.0,0.00602348,0.0183312,0.0295195,0.437033,1.02579,1.68801,1.53999,0.0102681,1.03006,0.00161687,15.0,766.759,23050.1,230.432
48.0,55.0,0.00604585,0.0184826,0.0146275,0.426728,1.40857,1.27436,1.24909,0.00414012,1.03399,0.00288672,15.0,757.968,17687.8,223.602
48.0,55.0,0.0063747,0.0180885,0.0327694,0.234721,1.01787,1.46111,0.818313,0.00717255,1.33531,0.00375983,15.0,436.031,8389.94,223.702
48.0,55.0,0.00583488,0.0189433,0.0395022,0.340612,0.695464,1.31239,0.920271,0.00506689,1.04651,0.00201359,15.0,561.298,24824.4,219.257
48.0,55.0,0.00611076,0.0181612,0.047016,0.562586,1.22665,0.750037,1.11383,0.0120799,1.78922,0.00282952,15.0,442.809,10120.8,225.513
48.0,55.0,0.00610578,0.0184814,0.011828,0.405284,1.34961,1.60078,0.839999,0.00214294,0.782294,0.00254206,15.0,906.646,25313.5,223.567
48.0,55.0,0.00616752,0.0181963,0.0209052,0.367906,0.915318,1.34015,0.918695,0.00436733,1.1238,0.00205527,15.0,857.874,22794.0,228.297
48.0,55.0,0.00558946,0.0189091,0.0306837,0.565062,0.767359,1.21097,1.85929,0.0123193,0.748971,0.00163059,15.0,734.273,21373.7,209.275
