x1,x2,x3,x4,x5,x6,x7
0.00278293,0.063925,0.369287,0.023912,51.0,41.0,264.04
0.00756826,0.83089,0.684268,0.0068429,51.0,41.0,924.007
0.0035776,0.277114,0.834185,0.0158354,51.0,41.0,400.65
0.0037069,0.301894,0.329343,0.015143,51.0,41.0,420.058
0.0058804,0.0120512,0.856095,0.0198853,51.0,41.0,324.862
0.0131893,0.00415957,0.985841,0.0114153,51.0,41.0,584.382
0.0114979,0.00415473,0.99842,0.0199999,51.0,41.0,341.917
0.00428107,0.00422658,0.0668723,0.0215924,51.0,41.0,294.371
0.00549706,0.00180912,0.0483174,0.014136,51.0,41.0,449.26
0.00162691,0.0278033,0.989024,0.17764,51.0,41.0,39.9073
0.00277644,0.0345482,0.960104,0.0438929,51.0,41.0,144.938
0.0153239,0.00162295,0.435666,0.0139741,51.0,41.0,477.795
0.00545954,0.0332388,0.851407,0.0134729,51.0,41.0,464.498
0.0015728,0.0494653,0.630769,0.0881813,51.0,41.0,77.1264
0.00145357,0.037375,0.463269,0.0953196,51.0,41.0,72.3194
0.00253349,0.066619,0.493358,0.0261105,51.0,41.0,240.84
0.0162988,0.000896534,0.351588,0.0319545,51.0,41.0,218.156
0.0123326,0.00195302,0.27166,0.00959387,51.0,41.0,676.857
0.00312033,0.0586007,0.80221,0.0251667,51.0,41.0,256.501
0.0107997,0.00417135,0.486259,0.00962393,51.0,41.0,682.698
0.0057035,0.00849866,0.564972,0.0196149,51.0,41.0,325.899
0.00637586,0.00573831,0.787897,0.0495873,51.0,41.0,129.804
0.00400841,0.337589,0.503696,0.0129516,51.0,41.0,475.596
0.0160831,0.00185019,0.461637,0.00998019,51.0,41.0,689.773
0.0043155,0.0340937,0.725046,0.0166989,51.0,41.0,385.135
0.00503338,0.023549,0.716893,0.0141084,51.0,41.0,448.585
0.00159415,0.0830524,0.734732,0.0741164,51.0,41.0,88.973
0.00295066,0.106908,0.91795,0.0246651,51.0,41.0,258.318
0.0129946,0.00159601,0.570484,0.0282299,51.0,41.0,248.623
0.00809866,0.0220181,0.813047,0.00843195,51.0,41.0,738.13
0.00243295,0.0140753,0.576601,0.137146,51.0,41.0,48.8146
0.0201182,0.00274001,0.976072,0.00648725,51.0,41.0,1067.87
0.00135559,0.0551413,0.98945,0.286867,51.0,41.0,25.5128
0.00324973,0.0273885,0.972411,0.763286,51.0,41.0,8.60835
0.0187843,0.000513389,0.295203,0.0346345,51.0,41.0,209.167
0.0017118,0.429554,0.938969,0.0395969,51.0,41.0,160.439
0.0039084,0.00713593,0.199101,0.025601,51.0,41.0,253.236
0.0177171,0.00225388,0.980962,0.00981676,51.0,41.0,730.268
0.00759122,0.0085455,0.979937,0.0177001,51.0,41.0,365.863
0.00544146,0.00940244,0.201429,0.0134643,51.0,41.0,459.271
0.00546827,0.0117087,0.613614,0.021321,51.0,41.0,297.612
0.0106327,0.00474452,0.602591,0.00962597,51.0,41.0,683.117
0.00229473,0.0294528,0.487034,0.0452216,51.0,41.0,142.803
0.00186458,0.639125,0.483887,0.0334961,51.0,41.0,186.441
0.00328034,0.168083,0.804706,0.0159649,51.0,41.0,387.054
0.00193033,0.0779664,0.566712,0.05674,51.0,41.0,112.229
0.00204927,0.0292246,0.66244,0.42596,51.0,41.0,15.5813
0.00233905,0.0291382,0.858139,0.395478,51.0,41.0,16.8895
0.00217296,0.0292873,0.902587,0.239228,51.0,41.0,27.8496
0.00266461,0.0212984,0.32652,0.0381581,51.0,41.0,168.419
0.00182763,0.295224,0.411439,0.0339965,51.0,41.0,185.505
0.00935621,0.00584133,0.915013,0.0201416,51.0,41.0,329.139
0.0127639,0.00299809,0.894726,0.0291072,51.0,41.0,234.479
0.00518505,0.00390814,0.218307,0.0190603,51.0,41.0,334.914
0.00148689,0.28858,0.998207,0.0603871,51.0,41.0,107.503
0.00151778,0.207299,0.99701,0.0523925,51.0,41.0,122.781
0.00513433,0.175154,0.968385,0.0109866,51.0,41.0,565.966
0.00197381,0.0193562,0.19675,0.595263,51.0,41.0,11.4812
0.00146134,0.0358711,0.873177,0.225096,51.0,41.0,31.6285
0.00223118,0.020242,0.549197,0.427641,51.0,41.0,15.42
0.00183471,0.029126,0.754502,0.656736,51.0,41.0,10.2556
0.00209951,0.0194989,0.67303,0.24991,51.0,41.0,26.0987
0.00212687,0.020092,0.671224,0.253938,51.0,41.0,27.0234
0.0109936,0.00224485,0.684088,0.0570322,51.0,41.0,117.902
0.00464741,0.22307,0.670827,0.0119473,51.0,41.0,542.135
0.00344443,0.179411,0.489068,0.016086,51.0,41.0,382.799
0.005277,0.356059,0.758809,0.0104525,51.0,41.0,610.008
0.00196221,0.0247216,0.536239,0.139333,51.0,41.0,48.3315
0.0015341,0.233828,0.4871,0.0469713,51.0,41.0,137.754
0.00152169,0.234235,0.486273,0.0456965,51.0,41.0,136.909
0.00261956,0.0282374,0.94969,0.0691971,51.0,41.0,94.2049
0.00861165,0.00642962,0.882551,0.864548,51.0,41.0,7.8689
0.0085372,0.0861002,0.892558,0.00662776,51.0,41.0,959.754
0.0154051,0.00178003,0.324849,0.786246,51.0,41.0,9.33294
0.00703315,0.0011182,0.0231342,0.114754,51.0,41.0,56.543
0.0093007,0.0127651,0.999983,0.00951249,51.0,41.0,683.816
0.00347984,0.0464502,0.010188,0.0164655,51.0,41.0,378.291
0.00743001,0.0411945,0.0135576,0.0066025,51.0,41.0,946.577
0.00221647,0.935839,0.311335,0.0244802,51.0,41.0,259.79
0.00542938,0.0502381,0.613113,0.0100162,51.0,41.0,617.878
0.00333888,0.030655,0.872815,0.0365518,51.0,41.0,174.374
0.00220575,0.0233068,0.28592,0.0528932,51.0,41.0,121.983
0.00567677,0.0582841,0.771566,0.0117441,51.0,41.0,531.648
0.0132117,0.00134925,0.516742,0.0224471,51.0,41.0,311.896
0.00465885,0.0345066,0.998289,0.015526,51.0,41.0,411.566
0.0014045,0.859777,0.918292,0.0616621,51.0,41.0,102.994
0.00772381,0.00534095,0.710481,0.734922,51.0,41.0,9.32218
0.00839169,0.00618659,0.904246,0.521128,51.0,41.0,13.1899
0.00921506,0.00525741,0.795051,0.59644,51.0,41.0,11.3449
0.0110476,0.00183393,0.42378,0.203373,51.0,41.0,33.5838
0.00619458,0.00680924,0.169935,0.911955,51.0,41.0,7.31032
0.0119332,0.00334782,0.653062,0.736455,51.0,41.0,9.62616
0.0036891,0.0131409,0.667279,0.045272,51.0,41.0,143.985
0.00383599,0.0383286,0.318726,0.0167797,51.0,41.0,368.332
0.00172459,0.321863,0.978133,0.0406715,51.0,41.0,158.89
0.00804609,0.00920961,0.85944,0.0163116,51.0,41.0,406.105
0.00896463,0.00704146,0.336832,0.0090287,51.0,41.0,693.283
0.0104445,0.00916088,0.555231,0.00671153,51.0,41.0,966.296
0.0107493,0.00876981,0.547722,0.0068197,51.0,41.0,978.042
0.008346,0.0242682,0.759326,0.00870135,51.0,41.0,758.552
0.00758765,0.0227597,0.768612,0.00851779,51.0,41.0,762.055
0.00447954,0.130754,0.853645,0.0140797,51.0,41.0,459.773
0.00409519,0.0332239,0.241925,0.0148818,51.0,41.0,415.187
0.00387057,0.0130238,0.965391,0.375122,51.0,41.0,17.4832
0.016054,0.00261656,0.996887,0.78886,51.0,41.0,9.4763
0.00543324,0.00797753,0.885836,0.416573,51.0,41.0,16.4323
0.0164,0.0011798,0.259448,0.525595,51.0,41.0,13.7865
0.00165462,0.0439438,0.64159,0.0997691,51.0,41.0,66.0283
0.0045292,0.0719908,0.651877,0.0125931,51.0,41.0,497.327
0.00374989,0.0229777,0.429893,0.0233458,51.0,41.0,272.562
0.00563677,0.0119908,0.629619,0.0145159,51.0,41.0,436.416
0.00468175,0.0145769,0.674369,0.0186628,51.0,41.0,343.332
0.0103129,0.00646893,0.641682,0.0113156,51.0,41.0,576.723
0.00247253,0.370283,0.562806,0.0264948,51.0,41.0,238.511
0.0171264,0.00228638,0.643749,0.00824662,51.0,41.0,834.914
0.00419482,0.0143172,0.67287,0.0321211,51.0,41.0,200.695
0.0141263,0.00230386,0.505035,0.0085576,51.0,41.0,782.851
0.00750437,0.00575317,0.735479,0.0311051,51.0,41.0,213.17
0.00477558,0.024008,0.884218,0.0233244,51.0,41.0,277.147
0.00437612,0.0334373,0.498806,0.0142279,51.0,41.0,440.011
0.0114488,0.00369347,0.83937,0.0204643,51.0,41.0,331.837
0.00221921,0.136187,0.840599,0.0302356,51.0,41.0,202.103
0.00134989,0.193649,0.445891,0.0621825,51.0,41.0,101.232
0.00151028,0.183755,0.42636,0.058598,51.0,41.0,105.422
0.00343926,0.0133845,0.722624,0.0433624,51.0,41.0,145.593
0.00439767,0.0431549,0.60572,0.0176541,51.0,41.0,369.405
0.00501194,0.0365127,0.671523,0.012377,51.0,41.0,519.316
0.00279491,0.213219,0.397821,0.02231,51.0,41.0,281.352
0.00334655,0.0179921,0.900671,0.0410881,51.0,41.0,160.184
0.00863972,0.0330068,0.403369,0.00711904,51.0,41.0,882.838
0.0059156,0.00653145,0.243701,0.673116,51.0,41.0,10.0365
0.00254794,0.0292992,0.907267,0.0806809,51.0,41.0,80.1881
0.002087,0.00812332,0.0815536,0.103138,51.0,41.0,63.7568
0.00167637,0.0363354,0.986481,0.108426,51.0,41.0,63.0585
0.0181059,0.000548371,0.362283,0.0190045,51.0,41.0,388.121
