x1,x2,x3,x4,x5
0.0109347,0.00772735,51.3597,40.5502,0.000474883
0.0102071,0.00721421,51.3056,40.7965,0.00047597
0.0109417,0.00738906,51.2076,40.6088,0.000468446
0.0126269,0.00571422,51.1163,40.4492,0.000407372
0.0122422,0.00650017,51.1472,41.5938,0.000416313
0.0123377,0.00532047,51.2567,41.2432,0.000395509
0.0124643,0.00553317,51.2628,41.2349,0.000397259
0.0116493,0.00693284,50.9978,41.7017,0.000434773
0.0117037,0.00685469,51.0019,41.661,0.000428938
0.012301,0.00591654,51.0062,41.883,0.000396573
0.0121357,0.00729489,51.1552,42.0587,0.000439455
0.0119623,0.00730682,51.1601,41.9397,0.000432826
0.0120162,0.00654934,51.1649,42.3311,0.000416098
0.0130672,0.007149,51.3312,40.6479,0.000425674
0.0129639,0.00716215,51.319,40.7864,0.000422184
0.0115266,0.00731425,51.2056,41.1001,0.000449927
0.012069,0.00629347,51.1665,41.2655,0.000417683
0.0120697,0.00628255,51.1723,41.2274,0.000411281
0.0101602,0.00621679,51.38,39.6504,0.000466398
0.0112356,0.0054957,51.307,40.1318,0.000424213
0.0127223,0.00575316,51.1044,41.3595,0.000397488
0.0119453,0.00539415,51.359,40.5141,0.000409856
0.0103832,0.00733294,51.1469,40.7737,0.00047551
0.0094023,0.00749374,51.5526,39.6646,0.000513916
0.0101001,0.00649991,51.6428,38.0162,0.000492187
0.0101135,0.00690018,51.6661,38.2297,0.000495242
0.0097408,0.00691229,51.7429,38.966,0.000494554
0.0110517,0.00794545,51.7409,39.3055,0.000485332
0.00981305,0.00659346,51.5294,38.9899,0.000489257
0.00895966,0.00817469,51.4407,39.4103,0.000552262
0.0141009,0.00557001,51.2556,42.0396,0.000370264
0.014822,0.00554367,51.2602,42.0542,0.000362236
0.0145113,0.00364162,51.0263,41.6568,0.000344897
0.0157023,0.00403319,51.0834,42.6232,0.000332027
0.0152663,0.00401029,50.9934,42.4653,0.000337841
0.0154404,0.00419324,50.9754,42.2994,0.000340011
0.0122856,0.00502813,51.3509,41.3064,0.000391034
0.015012,0.00518732,50.9313,42.3649,0.000356021
0.0139227,0.00607549,51.0324,42.8705,0.000375891
0.0131079,0.00584267,51.3525,41.0363,0.000393138
0.0102379,0.00623434,51.3277,39.6713,0.000462504
0.0103644,0.00629483,51.3711,39.7644,0.000463651
0.0107749,0.00811319,51.3132,40.8921,0.000482807
0.0113753,0.00606953,51.1289,40.7902,0.000429724
0.0111597,0.00630591,51.1564,41.1189,0.000435409
0.0111381,0.00643846,51.1688,41.2577,0.000438757
0.011274,0.00650849,51.0574,41.0293,0.000437077
0.0113526,0.00582419,51.2344,40.7819,0.000426094
0.0114488,0.00579549,51.2742,40.6684,0.000426022
0.0120265,0.00579065,51.2703,40.5292,0.000409614
0.0152894,0.00507861,50.958,43.0228,0.000347935
0.0132973,0.00592099,51.1453,41.6872,0.000391447
0.0125067,0.00757506,51.092,42.5725,0.000423961
0.0119601,0.00720976,51.0912,42.0809,0.000425125
0.0131543,0.00580157,51.0456,41.7703,0.000391168
0.0126064,0.00570779,51.0763,41.759,0.000395683
0.011758,0.00634727,51.1386,40.9308,0.000426353
0.0119613,0.00628064,51.1796,41.2875,0.00041689
0.0117206,0.0062382,51.1845,41.4826,0.000420055
0.0117482,0.00620524,51.1588,41.5627,0.000420718
0.0110632,0.00787795,51.2039,40.328,0.000477968
0.00949401,0.00685344,51.2336,41.0738,0.000484811
0.011143,0.00708199,51.1676,41.5851,0.000446673
0.0104315,0.00677551,51.4401,39.3743,0.00047598
0.0111207,0.00695498,51.4569,40.7731,0.000448264
0.0110991,0.00679729,51.457,40.5685,0.000450826
0.00923856,0.00735489,51.1924,39.5645,0.000520558
0.00997008,0.00722769,51.5533,40.0457,0.000492235
0.0105713,0.0068313,51.1043,40.7071,0.000457677
0.0110108,0.00625507,51.2624,40.4293,0.000441094
0.0121944,0.00512729,51.2777,40.5242,0.000397812
0.0133457,0.00492441,51.3263,41.6125,0.000370827
0.0126696,0.00538409,50.8902,42.8066,0.000379753
0.0125294,0.00641721,51.2501,40.5806,0.000420154
0.0115837,0.00652769,51.3454,41.0094,0.000433602
0.0113713,0.00700114,51.2537,40.4362,0.000448923
0.0115154,0.00699911,51.2115,40.5333,0.000447568
0.0109321,0.00677454,51.2515,40.0372,0.000455323
0.0108042,0.00639623,51.4216,40.4831,0.000446431
0.010536,0.00589189,51.5064,38.4611,0.000456101
0.00921948,0.00689583,51.5556,39.1575,0.00050508
0.0158867,0.004385,50.8236,43.1762,0.000334808
0.0114823,0.0057481,51.1421,40.6228,0.00042409
0.00926115,0.00755635,51.4402,38.9083,0.000532139
0.00933936,0.00735414,51.3644,40.0831,0.000504329
0.0141009,0.00455902,51.0532,42.088,0.000360643
0.0116857,0.00660866,51.205,41.7408,0.000431587
0.00905879,0.00734366,51.6295,38.8144,0.00052408
0.009936,0.00781269,51.5311,38.4636,0.000523419
0.00994882,0.00782116,51.5764,38.3871,0.00052442
0.00863367,0.00742118,51.5125,39.765,0.000544783
0.0108079,0.00759615,51.2194,40.7952,0.000466605
0.0102457,0.00648029,51.2432,40.9754,0.000460211
0.0102519,0.00647889,51.2414,40.9657,0.000459489
0.0142754,0.00651517,51.1462,41.2747,0.000392815
0.0102048,0.00649485,51.1798,41.492,0.000456464
0.0107394,0.00725724,51.1686,39.6024,0.000477086
0.0111199,0.00770631,51.1628,40.5468,0.000467287
0.0117733,0.00696849,51.2121,42.2174,0.000430448
0.0129544,0.00680682,51.2913,41.1019,0.00041957
0.012083,0.00566039,51.2498,40.9272,0.00040995
0.0121559,0.0056664,51.2464,40.9633,0.000406911
0.0119804,0.00540621,51.2299,40.711,0.000407058
0.0126726,0.00734519,51.2234,41.7543,0.000416314
0.0100198,0.00692629,51.4388,39.1846,0.000487917
0.0143655,0.00572314,51.0664,42.0637,0.00037357
0.0137567,0.00506697,51.0032,41.9467,0.000372154
0.0133357,0.00561271,51.189,41.8613,0.000385501
0.0140043,0.00625547,51.0755,41.2742,0.000389939
0.0128512,0.00555587,50.9971,42.2569,0.000385686
0.0141369,0.00586267,51.0847,41.6178,0.000378489
0.0125625,0.0061057,51.2031,42.1295,0.000400861
0.0133523,0.00568471,51.1294,41.304,0.000389709
0.0102305,0.00769901,51.3916,39.629,0.000499385
0.0100315,0.00769287,51.368,39.726,0.000496196
0.0108739,0.00803161,51.3695,39.4221,0.00049773
0.0123402,0.00581757,51.1646,40.8174,0.000414284
0.0122048,0.0060167,51.1539,40.8203,0.000407939
0.012294,0.00602688,51.1524,40.8443,0.000412348
0.0130215,0.00601652,51.135,41.6879,0.00039453
0.0130802,0.00597855,51.1403,41.7041,0.000398544
0.0120456,0.00541245,51.1331,41.029,0.000402076
0.0143086,0.00567612,51.331,41.0528,0.000376356
0.0137962,0.00614912,51.2927,40.9944,0.000390377
0.0119938,0.00450486,51.301,40.8425,0.000391119
0.0150116,0.00475215,50.9103,42.2837,0.000349612
