x1,x2,x3,x4,x5,x6,x7
0.0029748,0.412577,0.812676,0.018548,51.0,41.0,331.877
0.00887457,0.00855328,0.489501,0.00845713,51.0,41.0,771.629
0.0118423,0.00401003,0.813987,0.0129172,51.0,41.0,526.836
0.00613419,0.0277132,0.962699,0.0117876,51.0,41.0,555.347
0.0109044,0.0060801,0.873505,0.00815006,51.0,41.0,800.328
0.00796068,0.0122879,0.93751,0.0104537,51.0,41.0,611.551
0.0066706,0.0307223,0.905395,0.00908176,51.0,41.0,692.95
0.00821131,0.0375859,0.789589,0.00844763,51.0,41.0,753.148
0.0115041,0.00390916,0.936308,0.0175992,51.0,41.0,386.11
0.00340974,0.0162788,1.03615,0.0739328,51.0,41.0,89.0878
0.0266229,0.000601054,0.849071,0.0139232,51.0,41.0,617.731
0.00186272,0.36119,0.83578,0.0314961,51.0,41.0,197.845
0.0104803,0.00334572,1.07641,0.0749186,51.0,41.0,90.9143
0.0117965,0.00302706,0.90502,0.107843,51.0,41.0,62.9801
0.00789627,0.0279498,1.07781,0.00808766,51.0,41.0,776.301
0.00569599,0.0107442,0.875823,0.0244726,51.0,41.0,266.399
0.00933346,0.00552037,0.619629,0.0135337,51.0,41.0,483.854
0.00633814,0.00786997,0.68984,0.0188339,51.0,41.0,345.434
0.0187455,0.000569443,0.291971,0.064311,51.0,41.0,112.158
0.007017,0.0019319,0.270528,0.0531076,51.0,41.0,122.602
0.0100179,0.00378249,0.952912,0.395792,51.0,41.0,17.2911
0.00988999,0.00178536,0.284361,0.335659,51.0,41.0,20.3054
0.0226101,0.000839066,0.363383,0.335515,51.0,41.0,22.4336
0.00506767,0.330791,0.941522,0.0110684,51.0,41.0,567.294
0.00507088,0.329752,0.941866,0.0107932,51.0,41.0,566.06
0.00445808,0.0278761,0.326486,0.0129729,51.0,41.0,481.228
0.0124059,0.00670319,0.416892,0.00721691,51.0,41.0,923.369
0.0127014,0.00319453,0.91285,0.0521361,51.0,41.0,133.004
0.0122567,0.00629725,0.280021,0.00629011,51.0,41.0,1010.71
0.0125285,0.00406014,0.998056,0.278651,51.0,41.0,24.4174
0.00593443,0.00187624,0.21887,0.0681405,51.0,41.0,98.2915
0.00652058,0.0420581,0.818724,0.0100689,51.0,41.0,624.874
0.0134057,0.00210618,0.60676,0.0139945,51.0,41.0,489.968
0.0147223,0.00277655,0.618777,0.0144258,51.0,41.0,462.967
0.0134334,0.00513708,0.786124,0.00785626,51.0,41.0,836.268
0.00758176,0.0106692,0.649308,0.0113655,51.0,41.0,551.74
0.00791859,0.00847602,0.514476,0.0103635,51.0,41.0,622.187
0.010092,0.00563728,0.955275,0.0203713,51.0,41.0,328.012
0.00978167,0.00640828,0.449901,0.00957164,51.0,41.0,686.458
0.00534716,0.01722,0.855692,0.0195346,51.0,41.0,325.312
0.00472639,0.0407314,0.730906,0.0133411,51.0,41.0,473.128
0.00868235,0.00747075,0.843948,0.0189477,51.0,41.0,349.482
