x1,x2,x3,x4
0.00016743,9.09689e-7,50.0128,55.4514
0.000167426,5.68527e-7,50.0087,55.4201
0.000167594,2.79013e-7,50.0143,55.3923
0.000167852,1.85064e-7,50.0154,55.3113
0.000167953,7.03376e-7,50.0192,55.2834
0.000168759,7.2246e-7,50.0261,55.3781
0.000168669,4.84981e-7,50.025,55.3875
0.000169372,4.85778e-7,50.0599,55.4282
0.00016978,8.94883e-7,50.117,55.4289
0.000167694,3.23771e-6,50.0444,54.9996
0.000168788,1.93595e-6,50.0167,54.8767
0.000169493,7.16035e-6,50.1007,54.8446
0.000168752,4.12919e-6,50.0554,55.1995
0.000170466,2.57059e-6,50.1796,55.1661
0.000170394,1.14763e-6,50.1826,55.0701
0.000170328,5.79619e-7,50.1842,55.1056
0.000169988,9.05031e-7,50.1855,55.0226
0.000169749,1.09974e-6,50.1832,55.0487
0.000170595,2.31157e-6,50.2001,54.8749
0.000168915,3.46956e-6,50.1369,55.0025
0.000169035,3.50876e-6,50.1278,54.9742
0.000168644,5.49076e-6,50.0774,55.1018
0.00016892,6.28532e-6,50.0649,55.0968
0.000168575,1.05346e-5,50.1943,55.2083
0.000169271,8.49992e-6,50.1193,55.2728
0.000169041,7.05816e-6,50.049,55.1782
0.000169458,3.71865e-6,49.8855,55.3819
0.000169378,4.83567e-6,49.8682,55.3351
0.000170039,3.56568e-6,50.0655,55.1094
0.000169882,3.61357e-6,50.1014,55.0996
0.000168593,4.56183e-6,50.1129,55.2794
0.000170827,4.08787e-6,50.1383,55.2862
0.000170666,2.72179e-6,50.1394,55.1815
0.00017043,2.34997e-6,50.1364,55.1195
0.000169613,2.71835e-6,50.1516,55.0519
0.000169747,3.02265e-6,50.1479,54.9942
0.000169536,3.05028e-6,50.1593,54.9601
0.000169312,2.3639e-6,50.1475,54.9301
0.000172306,1.14584e-5,49.938,54.8394
0.000172402,7.89031e-6,49.9581,54.719
0.000172909,8.33467e-6,50.1411,54.0879
0.00017134,3.22973e-6,50.1487,54.5474
0.000171328,2.88198e-6,50.1522,54.5932
0.000170158,4.80412e-6,50.27,54.6276
0.000168304,2.57894e-6,50.3444,54.7527
0.000171281,3.57024e-6,50.2207,54.3405
0.000170901,3.90286e-6,50.2033,54.3726
0.000171063,4.58111e-6,50.138,54.3461
0.000171524,3.69542e-6,50.155,54.3326
0.000172776,6.64987e-6,50.3024,54.1561
0.000172639,7.07082e-6,50.3032,53.9721
0.000172449,7.89731e-6,50.3006,54.1867
0.00017289,6.65098e-6,50.2899,54.1698
0.000171335,5.25408e-6,50.2715,54.1559
0.000171592,3.96473e-6,50.2532,54.5067
0.000171391,3.37439e-6,50.2161,54.5682
0.000170351,2.94274e-6,50.2526,54.7678
0.000169917,3.08215e-6,50.2076,54.8401
0.000169922,2.49971e-6,50.2115,54.8178
0.000169796,2.83934e-6,50.2097,54.7913
0.000171081,3.09419e-6,50.1689,54.4325
0.000171116,4.79039e-6,50.1801,54.4966
0.000171374,1.94622e-6,50.155,54.7159
0.000171093,2.38111e-6,50.1255,54.5781
