,0
473,405.13856517713293
474,301.5958466271053
475,598.5943542726928
476,516.53696113106
477,465.47225593760555
478,251.30703399197768
479,216.7892229319557
480,481.9077407321047
481,381.2600180301641
482,276.5074369196151
483,947.7263631525325
484,647.1814153760887
485,824.9956732163763
486,477.7453444004625
487,737.0681631502548
488,539.4306291154872
489,238.54013209136698
490,473.61883735808607
491,548.8692796915468
492,445.7125261954996
493,291.2990728468685
494,423.1029375590631
495,705.7996203282827
496,609.066616080085
497,401.6380893151758
498,687.6781475679288
499,419.44756976719816
500,361.91369521392863
501,306.8795320426976
502,226.41958992973224
503,331.82190748045645
504,349.5634313105846
505,209.37956364433313
506,869.0391067212151
507,394.72742227753
508,309.55588832984483
509,658.5025145256726
510,238.54013209136698
511,441.8622138977669
512,301.5958466271053
513,340.5774524734411
514,539.4306291154872
515,473.61883735808607
516,224.46001734953015
517,1007.0054399376648
518,769.7203510358398
519,387.9354110094958
520,461.4515706059485
521,306.8795320426976
522,260.19434015409155
523,202.2221483653411
524,387.9354110094958
525,349.5634313105846
526,260.19434015409155
527,281.3528433668124
528,198.73533681359172
529,861.5387002764215
530,186.9962184313559
531,477.7453444004625
532,288.7801252490731
533,394.72742227753
534,377.9654262690124
535,346.5421301152361
536,218.6820860060231
537,603.8078134591229
538,763.0763211109312
539,588.3019056170132
540,486.1063385127195
541,481.9077407321047
542,964.2981714333725
543,276.5074369196151
544,401.6380893151758
545,1088.696984493275
546,1088.696984493275
547,323.29088658713107
548,441.8622138977669
549,641.5939715851563
550,426.7900967402351
551,578.1861824803888
552,737.0681631502548
553,306.8795320426976
554,588.3019056170132
555,817.875032016684
556,530.1540432001277
557,891.9340102602004
558,193.61704150069846
559,530.1540432001277
560,371.4612168137697
561,534.7722531341542
562,498.92250301398354
563,412.2311141850827
564,583.2221442540717
565,314.9786316106054
566,664.237018926823
567,449.59632548138853
568,343.5468787107619
569,198.73533681359172
570,309.55588832984483
571,756.4895792194882
572,1042.5279742823222
573,516.53696113106
574,553.6502621450787
575,249.13289015434646
576,573.1936426188092
577,320.4961076681203
578,426.7900967402351
579,705.7996203282827
580,776.4221672764974
581,293.83992740957973
582,796.8793819518341
583,314.9786316106054
584,412.2311141850827
585,652.8174554619158
586,264.7547694240703
587,371.4612168137697
588,989.7003148241636
589,255.71220984412463
590,641.5939715851563
591,939.5474728088915
592,365.0686836982116
593,609.066616080085
594,494.6134006588433
595,737.0681631502548
596,398.1677950993044
597,461.4515706059485
598,525.5756529676604
