# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PyrCompReprFP_OED2_Try1_model
# start_datetime = 2024-08-13 06:09:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0.5
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_OED2_Try1_1.data.R
# init = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_OED2_Try1_1.init.R
# random
#   seed = 1367664820 (Default)
# output
#   file = c:\IBECPostDocDrive\2024_01_16_NCvsKR\DataProcessingInference\ComputationalBayesianOED\tmp\PyrCompReprFP_OED2_Try1_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,kin,kpl,ki,kr,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,inits.1,inits.2,inits.3
-316.402,0.983409,0.0205564,2,7,0,317.411,0.12581,-0.697799,-0.0314705,-0.92181,48,55,0.00584598,0.0179053,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.935052,0.00156338,15,450,12599,226
-316.119,0.982376,0.0133655,3,15,0,316.874,0.0859686,-0.700867,-0.0214078,-0.9458,48,55,0.00573641,0.0178631,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.939831,0.00152859,15,450,12599,226
-316.119,0.0759309,0.0258948,2,5,0,317.268,0.0859686,-0.700867,-0.0214078,-0.9458,48,55,0.00573641,0.0178631,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.939831,0.00152859,15,450,12599,226
-315.974,0.996373,0.00515587,4,15,0,317.286,0.0768386,-0.671508,-0.0321166,-0.963539,48,55,0.00571131,0.0182668,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.934745,0.00150287,15,450,12599,226
-316.267,0.998793,0.00684796,3,7,0,316.595,0.0884785,-0.685655,-0.0187967,-0.987176,48,55,0.00574332,0.0180722,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.941072,0.00146859,15,450,12599,226
-317.846,0.966842,0.00722403,4,23,0,318.942,0.0236172,-0.676046,-0.0194819,-0.978148,48,55,0.00556495,0.0182044,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.940746,0.00148169,15,450,12599,226
-319.006,0.885471,0.0111311,3,7,0,320.19,0.112923,-0.686784,-0.00600008,-0.98257,48,55,0.00581054,0.0180567,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.94715,0.00147527,15,450,12599,226
-316.093,1,0.02109,1,1,0,317.926,0.0940768,-0.677897,-0.0145403,-0.969712,48,55,0.00575871,0.0181789,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.943093,0.00149392,15,450,12599,226
-317.805,0.0609624,0.029127,1,3,0,319.97,0.111077,-0.708453,-0.0472312,-0.990884,48,55,0.00580546,0.0177588,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.927565,0.00146322,15,450,12599,226
-318.278,0.993714,0.00368084,3,7,0,318.819,0.105525,-0.714904,-0.0464599,-0.986536,48,55,0.00579019,0.0176701,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.927932,0.00146952,15,450,12599,226
-317.483,0.999399,0.00318421,6,111,0,321.134,0.101742,-0.649866,0.0479269,-0.761925,48,55,0.00577979,0.0185643,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.972765,0.00179521,15,450,12599,226
-317.069,0.997267,0.0066583,4,27,0,319.071,0.106026,-0.660204,0.0671579,-0.686,48,55,0.00579157,0.0184222,0.042171,0.5365,0.98047,0.991257,0.93335,0.008241,0.9819,0.0019053,15,450,12599,226
